40,"N1はN2よりA： N1 A(tính từ) hơn N2",,5

41,"～ほど～ない　Không … bằng",,5

42,"～と同じです: Cùng với, giống với, tương tự với",,5

43,"N1のなかでN2がいちばんA： Trong số N1 (cá) thì N2 (cá hồi) là A (ngon) nhất",,5

44,"A｛い｝く/ A｛な｝になる。　Trở thành, trở nên","Tính từ thành trạng từ.",5

45,"AもVない Cho dù ~ cũng không",,5

46,"V1たりV2たりする: Lúc thì V1 lúc thì V2",,5

47,"Vている Đang làm gì (thể tiếp diễn)",,5

48,"Vdicことがある　Có khi, thỉnh thoảng (làm gì)",,5

49,"Vないことがある　Có khi không (làm gì)",,5

50,"Vたことがある　Đã từng (làm gì)",,5

51,"～や～など (Ví dụ) như là … và … (liệt kê không đầy đủ)",,5

52,"～ので～：　Bởi vì ～ nên ～",,5

53,"～まえに～　: Ở phía trước ... (không gian) / Trước khi (thời gian)",,5

54,"～てから：Kể từ khi đã (làm gì xong) thì ～",,5

55,"～たあとで： Sau khi đã ...","Mẫu câu này dùng để diễn tả sự việc 2 sau khi sự việc 1 xảy ra.",5

56,"～とき：　Khi/Lúc (nào, làm gì)",,5

57,"～でしょう？　～ đúng không?",,5

58,"多分～でしょう Có lẽ là ...",,5

59,"～と思います : Tôi nghĩ rằng",,5

60,"～と言います : Nói rằng / Nói là",,5



61,"(も)Ａし、Ｂし：Đã A lại còn B / vừa A vừa B",,4

62,"によると～そうです: Theo ～ thì nghe nói là ～",,4

63,"そうに/ そうな/ そうです～ : Có vẻ như",,4

64,"Ｖてみる Thử làm ～",,4

65,"Clauseと～： Nếu A thì (hệ quả)","Chỉ kết quả hiển nhiên.",4

66,"たら（だら）～： Nếu, sau khi (hành động gì)",,4

67,"なら～：　Nếu định (nếu là) ~ ",,4

68,"ば～：　Nếu (giả định) (thì)",,4

69,"ば～ほど～：　Càng ～ càng ～",,4

70,"Ｖたがる：　….muốn….thích","Diễn tả tình trạng ngôi thứ 3 (anh ấy, cô ấy, ông ấy, bà ấy, họ ...) muốn làm gì.",4

71,"Sかもしれない： Có thể là ～, có lẽ ～ (xác suất 50%)",,4

72,"でしょう： Có lẽ là / Chắc là",,4

73,"しか～ない： Chỉ  ～ mà thôi",,4

74,"Vておく　（ておきます）～：　Làm gì sẵn trước (chuẩn bị trước)","Trong văn nói thì 「～ておきます」hay nói tắt thành「～ときます」",4

75,"ようだ（です）： Có vẻ như ～",,4

76,"Ｖう（Ｖ意志）とおもう（と思う）～： Định làm ～",,4

77,"つもり：　Dự định ～, định ～",,4

78,"よてい（予定）：　Dự định là ～ ",,4

79,"～てあげる： Làm gì cho (vì lợi ích ai đó)",,4

80,"Ｖてくれる： Ai làm gì cho 'tôi'",,4

81,"Ｖてもらう：　Ai được ai làm gì cho",,4

82,"Ｖていただけませんか?：　Anh/chị có thể (làm gì) cho tôi có được không?",,4

83,"Ｖ受身（うけみ）： Động từ thể bị động (Bị gì đó, bị làm gì đó)",,4

84,"Vdicな（V禁止（きんし）） : Động từ thể cấm chỉ ( Cấm, không được…..)",,4

85,"V可能形（かのうけい）： Động từ thể khả năng (Có thể làm)",,4

86,"V使役( しえき）: Động từ thể sai khiến (Bắt làm / Cho phép)","-LÀM CHO-
あんしんする yên tâm
しんぱいする lo lắng
がっかりする buồn chán
よろこぶ vui mừng
かなしむ đau khổ
おこる tức giận",4

87,"V使役受身（しえきうけみ）：Động từ thể bị động sai khiến ( Bị bắt làm gì đó)","Nhóm I:
かきます　→　かかせられます。
はなします　→　はなさせられます。
*Chia rút gọn
書かせられます kakaseraremasu　→　書かされる kakasareru

*Nhóm II: Bỏ る thêm させられる
見ます　→　見させられます。misaseraremasu
あけます　→　あけさせられます akesaseraremasu

*Nhóm III (bất quy tắc)
します　→　させられます。
きます　→　こさせられます。",4

88,"Ｖなさい： Hãy làm …. đi",,4

89,"ても (V/ A/ N) : Cho dù ...",,4

90,"Ｖてしまう： Làm gì xong / Lỡ (ngủ quên, ...)",,4

91,"みたい: Nhìn có vẻ như ～","みたい là một tính từ な",4

92,"Ｖながら～： Vừa ... vừa ...","Hai hành động cùng xảy ra một thời gian.",4

93,"のに : Cho ..., để ... (mục đích) thì ...","Thường theo sau là các động từ つかう sử dụng、いい tốt、べんりだ tiện、やくにたつ có ích、「時間」がかかる mất thời gian。",4

94,"はずです： Chắc chắn ～, nhất định ～ (xác suất 100%)",,4

95,"はずがない：　 Không thể nào mà ～",,4

96,"ずに：　không (làm gì) mà ... / ... mà không V",,4

97,"Ｖないで： Mà không ～",,4

98,"かどうか： có ～ hay không",,4

99,"Ｎという～：　Được gọi là, Có tên là",,4

100,"Vやすい： Dễ V (dễ làm gì, làm gì dễ dàng)",,4

101,"Vにくい：Khó (làm gì)","にくい là tính từ đuôi い",4

102,"Vてある： Có thứ gì đã được V",,4

103,"あいだに～（間に）：Trong khi, trong lúc, trong khoảng ～",,4

104,"Ａく/ にする～： Làm cho [đẹp, sạch, ...]",,4

105,"Vてほしい : Muốn (ai) làm gì đó cho mình","Muốn ai làm gì cho bản thân = Vてもらいたい",4

106,"Ｖたところ～： Vừa làm gì thì (có gì xảy ra)",,4

107,"Ｖdic/Vない＋ことにする：quyết định sẽ ...",,4

108,"ことになっている： Từ nay sẽ phải ～, luật mới là phải ～, quy định là",,4

109,"とおりに～（～通りに）：Làm gì theo ～, làm gì đúng theo ～",,4

110,"ところに/ところへ: Đúng lúc ... thì",,4

111,"ためにV： Để ～, cho ～, vì ～ (vì lợi ích ai đó hay việc gì đó)",,4

112,"ばあい[に]（場合に）： Trường hợp ～, khi ～",,4

113,"Ｖたほうがいい（です）。 Nên làm gì",,4

114,"Vないほうがいい。／いいです。 Không nên làm gì",,4

115,"んです：[Nhấn mạnh với んです hay のです","Dạng thường là んだ hay だ",4

116,"すぎる： Quá ～",,4

117,"[V可能形]ようになる： Đã có thể [V dạng khả năng]",,4

118,"Vdicようになる： Bắt đầu (thói quen mới làm gì)",,4

119,"[Vdic/Vない]ようにする：Làm sao cho V/ không V","Cố gắng để ～, cố gắng không để ～",4

120,"なら～：Nếu định (nếu là) ~",,3
121,"ば～：Nếu (giả định) (thì)",,3
122,"ば～ほど～：Càng ～ càng ～",,3
123,"Ｖたがる：...muốn...thích",,3
